Composer,Work Title,Movement,henle,YouTube Link 1,YouTube Link 2,YouTube Link 3,Unnamed: 6,audio_id,audio_path,original_id,split
LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 1,9,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=Qk0ZTeNYwgI,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=mVVvr1DO_Qs,MySaUnsc25E,MySaUnsc25E.wav,c-28,val
LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 2,9,https://www.youtube.com/watch?v=4IFs_WPug1M,https://www.youtube.com/watch?v=7ftEcIdRUe8,https://www.youtube.com/watch?v=4IFs_WPug1M,,4IFs_WPug1M,4IFs_WPug1M.wav,c-28,val
LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 1,9,https://www.youtube.com/watch?v=j-3QDOhXc3s,,,,https://www.youtube.com/shorts/J384ENa4Ui0,j-3QDOhXc3s.wav,c-29,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 2,9,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=Vi-I1Tk8UIA,https://www.youtube.com/watch?v=oCgZrSYrdeY,2AFUXiJ2dxE,2AFUXiJ2dxE.wav,c-29,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 3,9,https://www.youtube.com/watch?v=lrKPwzlDENQ,https://www.youtube.com/shorts/J384ENa4Ui0,,,lrKPwzlDENQ,lrKPwzlDENQ.wav,c-29,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 4,9,https://www.youtube.com/watch?v=UcjvYfh1lrw,,,,UcjvYfh1lrw,UcjvYfh1lrw.wav,c-29,train
LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 1,9,https://www.youtube.com/watch?v=pod7UiUd-4k,,,,pod7UiUd-4k,pod7UiUd-4k.wav,c-32,train
LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 2,9,https://www.youtube.com/watch?v=UQsQEnhI_vM,,,,UQsQEnhI_vM,UQsQEnhI_vM.wav,c-32,train
FRÉDÉRIC CHOPIN,Piano Sonata b minor op. 58,,9,https://www.youtube.com/watch?v=42NSIDFakf8,,,,42NSIDFakf8,42NSIDFakf8.wav,c-332,val
FRÉDÉRIC CHOPIN,"Prelude d minor op. 28,24",,9,https://www.youtube.com/watch?v=PROCLaNobs8,https://www.youtube.com/watch?v=QHcEH2Rliko,https://www.youtube.com/watch?v=G5OkSfbsQfI,https://www.youtube.com/watch?v=CU9RgI9j7Do,PROCLaNobs8,PROCLaNobs8.wav,c-353,train
JOHANNES BRAHMS,Paganini Variations op. 35,,9,https://www.youtube.com/watch?v=s9Dn6AuIgHI,,,,s9Dn6AuIgHI,s9Dn6AuIgHI.wav,x-100,train
FRANZ LISZT,Rhapsodie espagnole,,9,https://www.youtube.com/watch?v=uqHy8lg84PM,,,,uqHy8lg84PM,uqHy8lg84PM.wav,x-101,train
FRANZ LISZT,Piano Sonata b minor,,9,https://www.youtube.com/watch?v=n04GkRTC_Lo,,,,n04GkRTC_Lo,n04GkRTC_Lo.wav,x-133,train
FRANZ LISZT,Après une Lecture du Dante - Fantasia quasi Sonata,,9,https://www.youtube.com/watch?v=lWLK4fpT4VE,,,,lWLK4fpT4VE,lWLK4fpT4VE.wav,x-137,train
FRÉDÉRIC CHOPIN,"Etude a minor op. 25,11",,9,https://www.youtube.com/watch?v=gZjdAWgjLx8,https://www.youtube.com/watch?v=pHlqEvAwdVc,https://www.youtube.com/watch?v=GqLLjYdxr1I,https://www.youtube.com/watch?v=YJMIIxm1bGo,gZjdAWgjLx8,gZjdAWgjLx8.wav,x-147,train
ALEXANDER SCRIABIN,Piano Sonata no. 5 op. 53,,9,https://www.youtube.com/watch?v=xDTgj_69JKA,,,,xDTgj_69JKA,xDTgj_69JKA.wav,x-158,train
SERGEI RACHMANINOV,"Étude-Tableau f sharp minor op. 39,3",,9,https://www.youtube.com/watch?v=DH2LW7y3TLU,https://www.youtube.com/watch?v=wH_mkPtIiSk,https://www.youtube.com/watch?v=fjbfWtRyEdE,https://www.youtube.com/watch?v=BGkUhJR0XzE,DH2LW7y3TLU,DH2LW7y3TLU.wav,x-169,test
FRANZ SCHUBERT,Fantasy (Wanderer Fantasy) C major op. 15 D 760,,9,https://www.youtube.com/watch?v=lR43Ti4w5MM,,,,lR43Ti4w5MM,lR43Ti4w5MM.wav,x-176,train
FRÉDÉRIC CHOPIN,"Etude b minor op. 25,10",,9,https://www.youtube.com/watch?v=V1hw_xVYubU,https://www.youtube.com/watch?v=d0-_RO-YCk4,https://www.youtube.com/watch?v=g0hoN6_HDVU,https://www.youtube.com/watch?v=lccVbc05AYA,V1hw_xVYubU,V1hw_xVYubU.wav,x-252,test
FRANZ LISZT,Hungarian Rhapsody no. 6,,9,https://www.youtube.com/watch?v=LhInwkq4nAw,,,,LhInwkq4nAw,LhInwkq4nAw.wav,x-255,test
ISAAC ALBÉNIZ,Eritaña,,9,https://www.youtube.com/watch?v=LTQ8ISHnJBg,,,https://www.youtube.com/watch?v=P82RZcjO2y4,LTQ8ISHnJBg,LTQ8ISHnJBg.wav,x-264,train
ROBERT SCHUMANN,Toccata C major op. 7,,9,https://www.youtube.com/watch?v=EUHobIa3TL0,,,,EUHobIa3TL0,EUHobIa3TL0.wav,x-34,val
MAURICE RAVEL,Scarbo,,9,https://www.youtube.com/watch?v=b7oJqi52d2I,,,,b7oJqi52d2I,b7oJqi52d2I.wav,x-349,test
FRANZ LISZT,Feux Follets,,9,https://www.youtube.com/watch?v=Ifk5Swd8WHk,https://www.youtube.com/watch?v=LsggmCF1Cys,https://www.youtube.com/watch?v=_NQ0Bt-Onow,https://www.youtube.com/watch?v=SVkTSv0mIew,Ifk5Swd8WHk,Ifk5Swd8WHk.wav,x-39,val
FRANZ LISZT,Wilde Jagd,,9,https://www.youtube.com/watch?v=7cBJzSMCq-M,https://www.youtube.com/watch?v=crprL4skrY4,https://www.youtube.com/watch?v=s-6OHzO7TfI,https://www.youtube.com/watch?v=kD4T-rNklsY,7cBJzSMCq-M,7cBJzSMCq-M.wav,x-40,test
SERGEI RACHMANINOV,"Prélude e minor op. 32,4",,9,https://www.youtube.com/watch?v=GxzeCc4-38Q,https://www.youtube.com/watch?v=VeAsgMIRcAU,https://www.youtube.com/watch?v=wXQCPAR0EHo,https://www.youtube.com/watch?v=jywaW0mZ0hg,GxzeCc4-38Q,GxzeCc4-38Q.wav,x-45,val
SERGEI RACHMANINOV,"Prélude e flat minor op. 23,9",,9,https://www.youtube.com/watch?v=XSaoGWXxhzc,https://www.youtube.com/watch?v=4qU2jcVt_LI,https://www.youtube.com/watch?v=hLS8gxQRS_8,https://www.youtube.com/watch?v=vydap1Cpzbk,XSaoGWXxhzc,XSaoGWXxhzc.wav,x-53,train
FRANZ LISZT,Rigoletto - Concert Paraphrase,,9,https://www.youtube.com/watch?v=1NRcAr0RvkQ,,,,1NRcAr0RvkQ,1NRcAr0RvkQ.wav,x-59,test
FRANZ LISZT,Hungarian Rhapsody no. 12,,9,https://www.youtube.com/watch?v=BED381eEDvU,,,,BED381eEDvU,BED381eEDvU.wav,x-92,train
LUDWIG VAN BEETHOVEN,"Piano Sonata E flat major op. 27,1",mvt. 1,8,https://www.youtube.com/watch?v=mMDu23AmAN0,https://www.youtube.com/watch?v=mMDu23AmAN0,https://www.youtube.com/watch?v=lPVJy_GAiVM,,mMDu23AmAN0,mMDu23AmAN0.wav,c-13,train
LUDWIG VAN BEETHOVEN,"Piano Sonata E flat major op. 27,1",mvt. 2,8,https://www.youtube.com/watch?v=S6C57j5Sva4,https://www.youtube.com/watch?v=ero4MnGlUwY,https://www.youtube.com/watch?v=lPVJy_GAiVM,https://www.youtube.com/watch?v=06v2bWBh1Ac,S6C57j5Sva4,S6C57j5Sva4.wav,c-13,train
LUDWIG VAN BEETHOVEN,"Piano Sonata E flat major op. 27,1",mvt. 3,8,https://www.youtube.com/watch?v=KLZbibXTW5o,https://www.youtube.com/watch?v=96Pj_lsHPjk,https://www.youtube.com/watch?v=1qOxeeOCuV4,https://www.youtube.com/watch?v=jskdsvswleQ,KLZbibXTW5o,KLZbibXTW5o.wav,c-13,train
LUDWIG VAN BEETHOVEN,"Piano Sonata E flat major op. 27,1",mvt. 4,8,https://www.youtube.com/watch?v=PkH1oL-sGxU,,,,PkH1oL-sGxU,PkH1oL-sGxU.wav,c-13,train
LUDWIG VAN BEETHOVEN,"Piano Sonata G major op. 31,1",mvt. 1,8,https://www.youtube.com/watch?v=IyXh5yKrV-4,https://www.youtube.com/watch?v=kFOnEQAXdHw,https://www.youtube.com/watch?v=sUQltL6QIJU,https://www.youtube.com/watch?v=csoqTTAznw4,IyXh5yKrV-4,IyXh5yKrV-4.wav,c-16,train
LUDWIG VAN BEETHOVEN,"Piano Sonata G major op. 31,1",mvt. 2,8,https://www.youtube.com/watch?v=L10Ug1_Ntt8,,,,L10Ug1_Ntt8,L10Ug1_Ntt8.wav,c-16,train
LUDWIG VAN BEETHOVEN,"Piano Sonata G major op. 31,1",mvt. 3,8,https://www.youtube.com/watch?v=lCCelGA35-Q,,,,lCCelGA35-Q,lCCelGA35-Q.wav,c-16,train
LUDWIG VAN BEETHOVEN,"Piano Sonata (Tempest) d minor op. 31,2",mvt. 1,8,https://www.youtube.com/watch?v=Wrpp6UxcNTk,,,,Wrpp6UxcNTk,Wrpp6UxcNTk.wav,c-17,train
LUDWIG VAN BEETHOVEN,"Piano Sonata (Tempest) d minor op. 31,2",mvt. 2,8,https://www.youtube.com/watch?v=95Je0er_C1g,,,,95Je0er_C1g,95Je0er_C1g.wav,c-17,train
LUDWIG VAN BEETHOVEN,"Piano Sonata (Tempest) d minor op. 31,2",mvt. 3,8,https://www.youtube.com/watch?v=1-B2KwFS11w,https://www.youtube.com/watch?v=hl_6lAvMsKE,,,1-B2KwFS11w,1-B2KwFS11w.wav,c-17,train
FRÉDÉRIC CHOPIN,Ballade A flat major op. 47,,8,https://www.youtube.com/watch?v=BkPLDoZXlHQ,,,,BkPLDoZXlHQ,BkPLDoZXlHQ.wav,c-207,test
FRÉDÉRIC CHOPIN,Ballade F major op. 38,,8,https://www.youtube.com/watch?v=Wslm1ZL9EI8,,,,Wslm1ZL9EI8,Wslm1ZL9EI8.wav,c-208,test
FRÉDÉRIC CHOPIN,Ballade g minor op. 23,,8,https://www.youtube.com/watch?v=Ed2ZtwCDvvw,,,,Ed2ZtwCDvvw,Ed2ZtwCDvvw.wav,c-210,train
FRÉDÉRIC CHOPIN,Barcarolle F sharp major op. 60,,8,https://www.youtube.com/watch?v=crLaBkFzXHo,,,,crLaBkFzXHo,crLaBkFzXHo.wav,c-211,test
FRÉDÉRIC CHOPIN,"Etüde (Revolution) c minor op. 10,12",,8,https://www.youtube.com/watch?v=7VWHBHeNrg4,https://www.youtube.com/watch?v=g1uLrHq9TDg,https://www.youtube.com/watch?v=TgBz7LnvUaQ,https://www.youtube.com/watch?v=Y6RIwVi1Mjs,7VWHBHeNrg4,7VWHBHeNrg4.wav,c-213,val
FRÉDÉRIC CHOPIN,Fantasy f minor op. 49,,8,https://www.youtube.com/watch?v=gEehFzhvpV8,,https://www.youtube.com/watch?v=0Lp9V2fIXZU,,gEehFzhvpV8,gEehFzhvpV8.wav,c-217,val
FRÉDÉRIC CHOPIN,Polonaise A flat major op. 53,,8,https://www.youtube.com/watch?v=8QT7ITv9Ecs,,,,8QT7ITv9Ecs,8QT7ITv9Ecs.wav,c-224,test
FRÉDÉRIC CHOPIN,Scherzo b minor op. 20,,8,https://www.youtube.com/watch?v=R38aNOLVv9w,,,,R38aNOLVv9w,R38aNOLVv9w.wav,c-227,test
FRÉDÉRIC CHOPIN,Scherzo c sharp minor op. 39,,8,https://www.youtube.com/watch?v=vrLwkbjSDB8,,,,vrLwkbjSDB8,vrLwkbjSDB8.wav,c-229,train
FRÉDÉRIC CHOPIN,Scherzo E major op. 54,,8,https://www.youtube.com/watch?v=m6VdpEI48dc,,,,m6VdpEI48dc,m6VdpEI48dc.wav,c-230,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Les Adieux) E flat major op. 81a,mvt. 1,8,https://www.youtube.com/watch?v=L2hCsWUBFn4,https://www.youtube.com/watch?v=7MIV2S12Sp8,,,L2hCsWUBFn4,L2hCsWUBFn4.wav,c-26,val
LUDWIG VAN BEETHOVEN,Piano Sonata (Les Adieux) E flat major op. 81a,mvt. 2,8,https://www.youtube.com/watch?v=3OfV57Tlhr8,https://www.youtube.com/watch?v=3OfV57Tlhr8,https://www.youtube.com/watch?v=7MIV2S12Sp8,https://www.youtube.com/watch?v=Z6o36M66_Rk,3OfV57Tlhr8,3OfV57Tlhr8.wav,c-26,val
LUDWIG VAN BEETHOVEN,Piano Sonata (Les Adieux) E flat major op. 81a,mvt. 3,8,https://www.youtube.com/watch?v=C1jbbtpLwNM,https://www.youtube.com/watch?v=7MIV2S12Sp8,,,C1jbbtpLwNM,C1jbbtpLwNM.wav,c-26,val
FRÉDÉRIC CHOPIN,"Etude a minor op. 10,2",,8,https://www.youtube.com/watch?v=of_afnCe4IE,https://www.youtube.com/watch?v=08zo6ROXwLA,https://www.youtube.com/watch?v=4BgGpqUyl84,https://www.youtube.com/watch?v=V_49Bp8Xr64,of_afnCe4IE,of_afnCe4IE.wav,c-264,test
FRÉDÉRIC CHOPIN,"Etude c sharp minor op. 10,4",,8,https://www.youtube.com/watch?v=oHiU-u2ddJ4,https://www.youtube.com/watch?v=oOOFxDbq3RE,https://www.youtube.com/watch?v=XIKdCTmcTLs,https://www.youtube.com/watch?v=iHC5G_vG5qw,oHiU-u2ddJ4,oHiU-u2ddJ4.wav,c-265,train
FRÉDÉRIC CHOPIN,"Etude e minor op. 25,5",,8,https://www.youtube.com/watch?v=g7C2it9cCsY,https://www.youtube.com/watch?v=bOOZ37nazsk,https://www.youtube.com/watch?v=irC7b-SwA8g,https://www.youtube.com/watch?v=qr4qHh1b3E8,g7C2it9cCsY,g7C2it9cCsY.wav,c-272,train
FRÉDÉRIC CHOPIN,"Etude c minor op. 25,12",,8,https://www.youtube.com/watch?v=9vA8qX_p11w,https://www.youtube.com/watch?v=pRlHKQXjzZY,https://www.youtube.com/watch?v=9IbCEF1XF9Q,https://www.youtube.com/watch?v=E9VGbQfvDn0,9vA8qX_p11w,9vA8qX_p11w.wav,c-275,train
LUDWIG VAN BEETHOVEN,Piano Sonata E major op. 109,mvt. 1,8,https://www.youtube.com/watch?v=BxRIrxZJXKE,https://www.youtube.com/watch?v=bbMBhuHYJBE,https://www.youtube.com/watch?v=6vaKY5ODIRE,https://www.youtube.com/watch?v=27btQJaXCsE,BxRIrxZJXKE,BxRIrxZJXKE.wav,c-30,train
LUDWIG VAN BEETHOVEN,Piano Sonata E major op. 109,mvt. 2,8,https://www.youtube.com/watch?v=Jcr6WUvuVJU,https://www.youtube.com/watch?v=IO4jmePHo7U,https://www.youtube.com/watch?v=nBJ8O7ODyig,https://www.youtube.com/watch?v=WvEYqU2reBY,Jcr6WUvuVJU,Jcr6WUvuVJU.wav,c-30,train
LUDWIG VAN BEETHOVEN,Piano Sonata E major op. 109,mvt. 3,8,https://www.youtube.com/watch?v=iAHjPCiBKRQ,,,,iAHjPCiBKRQ,iAHjPCiBKRQ.wav,c-30,train
LUDWIG VAN BEETHOVEN,Piano Sonata A flat major op. 110,mvt. 1,8,https://www.youtube.com/watch?v=uWKEsOiF4vc,,,,uWKEsOiF4vc,uWKEsOiF4vc.wav,c-31,train
LUDWIG VAN BEETHOVEN,Piano Sonata A flat major op. 110,mvt. 2,8,https://www.youtube.com/watch?v=dLj1Bknfeyw,https://www.youtube.com/watch?v=a3ubySjSD_o,https://www.youtube.com/watch?v=Hbn71iXKK7Y,https://www.youtube.com/watch?v=d_4ptRiB3y4,dLj1Bknfeyw,dLj1Bknfeyw.wav,c-31,train
LUDWIG VAN BEETHOVEN,Piano Sonata A flat major op. 110,mvt. 3,8,https://www.youtube.com/watch?v=BP84TczbAc4,https://www.youtube.com/shorts/J384ENa4Ui0,,,BP84TczbAc4,BP84TczbAc4.wav,c-31,train
FRÉDÉRIC CHOPIN,Allegro de Concert A major op. 46,,8,https://www.youtube.com/watch?v=_OBPsBjjxb8,,,,_OBPsBjjxb8,_OBPsBjjxb8.wav,c-330,train
FRÉDÉRIC CHOPIN,Piano Sonata c minor op. 4,,8,https://www.youtube.com/watch?v=2Ej9g7tsgF4,,,https://www.youtube.com/watch?v=2Ej9g7tsgF4,2Ej9g7tsgF4,2Ej9g7tsgF4.wav,c-333,train
FRÉDÉRIC CHOPIN,"Prelude f sharp minor op. 28,8",,8,https://www.youtube.com/watch?v=sGqaeUeTzj0,https://www.youtube.com/watch?v=HlPO8W79KUs,https://www.youtube.com/watch?v=DbJzYYsn6eM,https://www.youtube.com/watch?v=-7OAHBaRCgo,sGqaeUeTzj0,sGqaeUeTzj0.wav,c-341,train
FRÉDÉRIC CHOPIN,"Prelude g sharp minor op. 28,12",,8,https://www.youtube.com/watch?v=VEP0ljnjFxc,https://www.youtube.com/watch?v=1ux3t8OZYHY,https://www.youtube.com/watch?v=JRfMbrpKz8c,https://www.youtube.com/watch?v=CU9RgI9j7Do,VEP0ljnjFxc,VEP0ljnjFxc.wav,c-344,train
FRÉDÉRIC CHOPIN,"Prelude b flat minor op. 28,16",,8,https://www.youtube.com/watch?v=xGY0eRpV9Qw,https://www.youtube.com/watch?v=LhZGYs1z2mQ,https://www.youtube.com/watch?v=3LmH18JCfnI,https://www.youtube.com/watch?v=yZlFWkmmX2Y,xGY0eRpV9Qw,xGY0eRpV9Qw.wav,c-347,train
FRÉDÉRIC CHOPIN,Rondo F major op. 5,,8,https://www.youtube.com/watch?v=EWSmRl1POEo,,,,EWSmRl1POEo,EWSmRl1POEo.wav,c-356,test
FRÉDÉRIC CHOPIN,Rondo E flat major op. 16,,8,https://www.youtube.com/watch?v=CxSEdBKcQYE,,,,CxSEdBKcQYE,CxSEdBKcQYE.wav,c-357,train
LUDWIG VAN BEETHOVEN,Piano Sonata E flat major op. 7,mvt. 1,8,https://www.youtube.com/watch?v=MrBBMsWz1b4,,,,MrBBMsWz1b4,MrBBMsWz1b4.wav,c-4,train
LUDWIG VAN BEETHOVEN,Piano Sonata E flat major op. 7,mvt. 2,8,https://www.youtube.com/watch?v=dSSbc5Yrn38,,,,dSSbc5Yrn38,dSSbc5Yrn38.wav,c-4,train
LUDWIG VAN BEETHOVEN,Piano Sonata E flat major op. 7,mvt. 3,8,https://www.youtube.com/watch?v=5GaDeORwSE4,https://www.youtube.com/watch?v=tRzdG4HSToU,https://www.youtube.com/watch?v=_QxiqfzKWY0,,5GaDeORwSE4,5GaDeORwSE4.wav,c-4,train
LUDWIG VAN BEETHOVEN,Piano Sonata E flat major op. 7,mvt. 4,8,https://www.youtube.com/watch?v=TjC2ysbGpyo,,,,TjC2ysbGpyo,TjC2ysbGpyo.wav,c-4,train
MAURICE RAVEL,Une barque sur l'océan,,8,https://www.youtube.com/watch?v=JdDySf4agqQ,,,,JdDySf4agqQ,JdDySf4agqQ.wav,x-116,val
ISAAC ALBÉNIZ,El Polo,,8,https://www.youtube.com/watch?v=HdbLgKbzHV0,,,,HdbLgKbzHV0,HdbLgKbzHV0.wav,x-127,val
FELIX MENDELSSOHN BARTHOLDY,Scherzo a Capriccio,,8,https://www.youtube.com/watch?v=7DLsTJJYJ0s,https://www.youtube.com/watch?v=I2sKndpmCyM,https://www.youtube.com/watch?v=ASeDNeQSKLs,,7DLsTJJYJ0s,7DLsTJJYJ0s.wav,x-129,val
FRANZ LISZT,Tarantella,,8,https://www.youtube.com/watch?v=TXI4S2_icvw,,,https://www.youtube.com/watch?v=mORI9Q63iIk,TXI4S2_icvw,TXI4S2_icvw.wav,x-149,test
ISAAC ALBÉNIZ,El Albaicín,,8,https://www.youtube.com/watch?v=LOVHgyDVx9s,,,,LOVHgyDVx9s,LOVHgyDVx9s.wav,x-175,train
CLAUDE DEBUSSY,Pour les agréments,,8,https://www.youtube.com/watch?v=WGiu9sUmNDg,https://www.youtube.com/watch?v=Qi5A2te4mnI,https://www.youtube.com/watch?v=WSxL2vHjDZM,https://www.youtube.com/watch?v=e9VIwruEc60,WGiu9sUmNDg,WGiu9sUmNDg.wav,x-187,train
ISAAC ALBÉNIZ,Jerez,,8,https://www.youtube.com/watch?v=PlXp7tUQKmg,,,,PlXp7tUQKmg,PlXp7tUQKmg.wav,x-263,train
MAURICE RAVEL,Le Gibet,,8,https://www.youtube.com/watch?v=mhpX-CyTvfw,,,,mhpX-CyTvfw,mhpX-CyTvfw.wav,x-281,train
FRÉDÉRIC CHOPIN,"Etude a minor op. 25,4",,8,https://www.youtube.com/watch?v=naia4ko16Bo,https://www.youtube.com/watch?v=YdzzKHEKZPg,https://www.youtube.com/watch?v=q7q61Wp6aKo,https://www.youtube.com/watch?v=lccVbc05AYA,naia4ko16Bo,naia4ko16Bo.wav,x-292,train
MAURICE RAVEL,Jeux d'eau,,8,https://www.youtube.com/watch?v=K6XI7sIz7CU,https://www.youtube.com/watch?v=Jf3iv3nVb-I,https://www.youtube.com/watch?v=3tQs6l4d8hM,,K6XI7sIz7CU,K6XI7sIz7CU.wav,x-339,test
FRANZ SCHUBERT,"Impromptu f minor op. post.142,4 D 935",,8,https://www.youtube.com/watch?v=QynWkW3aZic,,,,QynWkW3aZic,QynWkW3aZic.wav,x-368,train
FRÉDÉRIC CHOPIN,"Etude D flat major op. 25,8",,8,https://www.youtube.com/watch?v=IvTZaEBQ7ZA,https://www.youtube.com/watch?v=I2EWkZNUvgA,https://www.youtube.com/watch?v=AcizY93abJM,https://www.youtube.com/watch?v=CrvgD3UbBOs,IvTZaEBQ7ZA,IvTZaEBQ7ZA.wav,x-375,train
FRANZ LISZT,La leggierezza,,8,https://www.youtube.com/watch?v=PIS6PbVKcwk,https://www.youtube.com/watch?v=VaMT44YCfb0,https://www.youtube.com/watch?v=rrS5KtBjGqA,https://www.youtube.com/watch?v=Esj-LBnCVA8,PIS6PbVKcwk,PIS6PbVKcwk.wav,x-42,train
FRANZ LISZT,Hungarian Rhapsody no. 2,,8,https://www.youtube.com/watch?v=7H99FM6S8rU,,,,7H99FM6S8rU,7H99FM6S8rU.wav,x-56,train
FRANZ LISZT,Vallée d'Obermann,,8,https://www.youtube.com/watch?v=AbnPiQ-VaBc,,,,AbnPiQ-VaBc,AbnPiQ-VaBc.wav,x-69,train
CLAUDE DEBUSSY,Reflets dans l'eau,,8,https://www.youtube.com/watch?v=LLbpQl1cCl8,https://www.youtube.com/watch?v=iXJGKY3kb8I,https://www.youtube.com/watch?v=VC13CAdrOiM,,LLbpQl1cCl8,LLbpQl1cCl8.wav,x-75,val
JOHANNES BRAHMS,Hungarian Dance no. 5 f sharp minor,,8,https://www.youtube.com/watch?v=3o551FLEX1U,https://www.youtube.com/watch?v=Nzo3atXtm54,https://www.youtube.com/watch?v=g_aCxaOkzBY,https://www.youtube.com/watch?v=3X9LvC9WkkQ,3o551FLEX1U,3o551FLEX1U.wav,x-89,val
LUDWIG VAN BEETHOVEN,Piano Sonata B flat major op. 22,mvt. 1,7,https://www.youtube.com/watch?v=AcAN1ab-xqk,,,,AcAN1ab-xqk,AcAN1ab-xqk.wav,c-11,val
LUDWIG VAN BEETHOVEN,Piano Sonata B flat major op. 22,mvt. 2,7,https://www.youtube.com/watch?v=aV09ytaNTCE,,,,aV09ytaNTCE,aV09ytaNTCE.wav,c-11,val
LUDWIG VAN BEETHOVEN,Piano Sonata B flat major op. 22,mvt. 3,7,https://www.youtube.com/watch?v=TTtOgzn3s04,https://www.youtube.com/watch?v=fgoJngDXCJc,https://www.youtube.com/watch?v=AJ0_maOUU40,https://www.youtube.com/watch?v=XuF3nNYRdyQ,TTtOgzn3s04,TTtOgzn3s04.wav,c-11,val
LUDWIG VAN BEETHOVEN,Piano Sonata B flat major op. 22,mvt. 4,7,https://www.youtube.com/watch?v=USjvGc2u9cY,,,,USjvGc2u9cY,USjvGc2u9cY.wav,c-11,val
LUDWIG VAN BEETHOVEN,Piano Sonata (Funeral March) A flat major op. 26,mvt. 1,7,https://www.youtube.com/watch?v=7A9QsybqS2I,,,,7A9QsybqS2I,7A9QsybqS2I.wav,c-12,train
