artist,artist_id,track,track_duration(s),composer,audio_path,youtube_links,audio_duration,composition_id
Friedrich Gulda,24.0,"24 Préludes, Op. 28: No. 8 in F-Sharp Minor. Molto agitato, B. 107",102.213,Frédéric Chopin,"Frederic_Chopin/24_Préludes,_Op._28/No._8_in_F-Sharp_Minor:_Molto_agitato/6.mp3",https://www.youtube.com/watch?v=yva99NKje9A,103.0,1468
Artur Schnabel,23.0,"Piano Sonata in A major, D.959: 3. Scherzo. Allegro vivace",269.529,Franz Schubert,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/17.mp3",https://www.youtube.com/watch?v=oiX-XQxr1U8,270.0,876
Glenn Gould,15.0,"The Well-Tempered Clavier, Book 1: Prelude No. 17 in A-Flat Major, BWV 862",83.56,Johann Sebastian Bach,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._17_in_A-Flat_Major,_BWV_862:_Prelude/2.mp3",https://www.youtube.com/watch?v=WS8FbPKwo2E,84.0,518
Emil Gilels,1.0,"Piano Sonata No. 29 in B-Flat Major, Op. 106 -""Hammerklavier"": 2. Scherzo (Assai vivace - Presto - Prestissimo - Tempo I)",173.0,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._29_in_B-Flat_Major,_Op._106_""Hammerklavier""/II._Scherzo._Assai_vivace/1.mp3",https://www.youtube.com/watch?v=y9jukXE4O-M,173.0,1233
Robert Casadesus,21.0,"Partita No. 2 In C Minor, BWV 826: 2. Allemande",196.066,Johann Sebastian Bach,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/2._Allemande/22.mp3",https://www.youtube.com/watch?v=OVL1q97lCxc,197.0,346
Claudio Arrau,11.0,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",175.546,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/19.mp3",https://www.youtube.com/watch?v=fR3BtiCzxeg,176.0,1165
Dinu Lipatti,29.0,"Waltz No. 10 in B Minor, Op. 69, No. 2",178.90599999999998,Frédéric Chopin,"Frederic_Chopin/Waltz_No.10_in_B_minor,_Op.69,_No.2/17.mp3",https://www.youtube.com/watch?v=gJV1tjhn0k0,178.0,1613
Arturo Benedetti Michelangeli,10.0,"Préludes / Book 2, L. 123: 2. Feuilles mortes",199.333,Claude Debussy,"Claude_Debussy/Préludes,_Book_2,_L._123/No._2,_Feuilles_mortes/4.mp3",https://www.youtube.com/watch?v=l4gVGnULcxc,200.0,671
Alfred Brendel,19.0,"Piano Sonata No.26 in E flat, Op.81a -""Les adieux"": 2. Abwesendheit (Andante espressivo)",236.506,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No.26_in_E_flat,_Op.81a_-""Les_adieux""/2._Abwesendheit_(Andante_espressivo)/15.mp3",https://www.youtube.com/watch?v=b8UY9xHWPVs,236.0,1196
András Schiff,4.0,"Piano Sonata No.21 in B flat, D.960: 3. Scherzo (Allegro vivace con delicatezza)",238.626,Franz Schubert,"Franz_Schubert/Piano_Sonata_No.21_in_B_flat,_D.960/3._Scherzo_(Allegro_vivace_con_delicatezza)/1.mp3",https://www.youtube.com/watch?v=0SKSyf6sICM,238.0,842
Alfred Cortot,3.0,"3 Etudes de concert, S144/R5: No. 2 in F Minor, ""La Leggierezza""",241.44,Franz Liszt,"Franz_Liszt/3_Etudes_de_concert,_S._144/No._2_in_F_Minor/0.mp3",https://www.youtube.com/watch?v=otfX8RjB7dQ,241.0,99
Maurizio Pollini,5.0,"Préludes / Book 1, L.117: 2. Voiles",199.0,Claude Debussy,"Claude_Debussy/Préludes,_Book_1,_L._117/No._2,_Voiles/4.mp3",https://www.youtube.com/watch?v=C5y4kT-eb7I,199.0,651
Sviatoslav Richter,0.0,"7 Bagatelles, Op. 33: No. 3 in F Major",124.88,Ludwig van Beethoven,"Ludwig_van_Beethoven/Bagatelles,_Op._33/No._3_in_F_Major/3.mp3",https://www.youtube.com/watch?v=neiLGKdd6jc,124.0,1261
Sviatoslav Richter,0.0,"11 Bagatelles, Op. 119: No. 7 in C Major",70.02600000000001,Ludwig van Beethoven,"Ludwig_van_Beethoven/Bagatelles,_Op._119/No._7_in_C_Major/5.mp3",https://www.youtube.com/watch?v=FB9yKbDC8xY,70.0,1313
Vladimir Ashkenazy,6.0,"9 Etudes-Tableaux, Op.33: No.6 in E Flat Minor",104.826,Sergei Rachmaninoff,"Sergei_Rachmaninoff/9_Etudes-Tableaux,_Op.33/No.6_in_E_Flat_Minor/7.mp3",https://www.youtube.com/watch?v=NHG7P9McpBg,104.0,90
Vladimir Ashkenazy,6.0,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Prelude in A minor BWV 865",63.346,Johann Sebastian Bach,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._20_in_A_Minor,_BWV_865:_Prelude/6.mp3",https://www.youtube.com/watch?v=IrYbwXpkvI8,63.0,541
Claudio Arrau,11.0,"Piano Sonata No.1 in F minor, Op.2 No.1: 3. Menuetto (Allegretto)",181.0,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._1_in_F_Minor,_Op._2_No._1/III._Menuetto._Allegretto/8.mp3",https://www.youtube.com/watch?v=FYwFfb_mXLg,181.0,1181
András Schiff,4.0,"English Suite No. 5 In E Minor, BWV 810: 4. Sarabande",213.0,Johann Sebastian Bach,"Johann_Sebastian_Bach/English_Suite_No.5_in_E_minor,_BWV_810/4._Sarabande/0.mp3",https://www.youtube.com/watch?v=s6H_tz4HE7k,212.0,330
Daniel Barenboim,9.0,"Lieder ohne Worte, Op. 19: No. 1 in E Major, MWV U 86 - ""Sweet Remembrance""",184.64,Felix Mendelssohn,"Felix_Mendelssohn/Lieder_ohne_Worte,_Op._19b/No._1_in_E_Major,_MWV_U_86/2.mp3",https://www.youtube.com/watch?v=W1wbIWGVw3g,184.0,732
Lang Lang,39.0,"The Seasons, Op. 37a: III. March - Song of the Lark",167.92,Pyotr Ilyich Tchaikovsky,"Pyotr_Ilyich_Tchaikovsky/The_Seasons,_Op._37a,_TH_135/3._March:_Song_Of_The_Lark/1.mp3",https://www.youtube.com/watch?v=RLCiCZzs6Hs,168.0,950
Daniel Barenboim,9.0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",128.666,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/2._Allegretto/25.mp3",https://www.youtube.com/watch?v=9QjLjBovkNo,128.0,1306
Claudio Arrau,11.0,"Nocturne No.2 in E flat, Op.9 No.2",286.493,Frédéric Chopin,"Frederic_Chopin/Nocturne_No.2_in_E_flat_major,_Op.9_No.2/15.mp3",https://www.youtube.com/watch?v=Mg-LX6K6W5o,286.0,1656
Glenn Gould,15.0,"English Suite No. 6 in D Minor, BWV 811: III. Courante",166.533,Johann Sebastian Bach,"Johann_Sebastian_Bach/English_Suite_No.6_in_D_minor,_BWV_811/3._Courante/10.mp3",https://www.youtube.com/watch?v=sKinIi4bXFI,167.0,338
Glenn Gould,15.0,"French Suite No. 1 in D Minor, BWV 812: VI. Gigue",127.92,Johann Sebastian Bach,"Johann_Sebastian_Bach/French_Suite_No._1_in_D_minor,_BWV_812/6._Gigue/4.mp3",https://www.youtube.com/watch?v=Td9l7XClXnw,128.0,424
Glenn Gould,15.0,"Goldberg Variations, BWV 988: Variation 21 Canone alla Settima",132.64,Johann Sebastian Bach,"Johann_Sebastian_Bach/Goldberg_Variations,_BWV_988/Var._21_Canone_alla_Settima/13.mp3",https://www.youtube.com/watch?v=UZpbLUSU8Ds,133.0,484
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: No. 7, Träumerei",176.4,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/24.mp3",https://www.youtube.com/watch?v=yPpIxZF7ipY,177.0,202
Murray Perahia,13.0,"12 Études, Op. 10: No. 4 in C-Sharp Minor ""Torrent""",121.253,Frédéric Chopin,"Frederic_Chopin/12_Études,_Op._10/No._4_in_C-Sharp_Minor/26.mp3",https://www.youtube.com/watch?v=DJ1iSciX_7Q,122.0,1420
Alexandre Tharaud,43.0,"24 Préludes, Op. 28: No.2 in A minor - Lento",101.56,Frédéric Chopin,"Frederic_Chopin/24_Préludes,_Op._28/No._2_in_A_Minor:_Lento/34.mp3",https://www.youtube.com/watch?v=2Yc0dk-iKR4,102.0,1467
Wilhelm Kempff,28.0,"Carnaval, Op. 9: XXI. Marche des ""Davidsbündler"" contre les Philistins",259.173,Robert Schumann,"Robert_Schumann/Carnaval,_Op._9/19-20._Pause-Marche_des_Davidsbundler_contre_les_Philistins/19.mp3",https://www.youtube.com/watch?v=Q3dMLb9yvZo,259.0,293
Vladimir Ashkenazy,6.0,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Prelude in F sharp major BWV 882",185.813,Johann Sebastian Bach,"Johann_Sebastian_Bach/Das_Wohltemperierte_Klavier_Book2/Book_2,_BWV_870-893:_Fugue_in_F_sharp_major_BWV_882/3.mp3",https://www.youtube.com/watch?v=PEEleHpQfxg,185.0,641
Artur Schnabel,23.0,"Kinderszenen, Op. 15: IX. Ritter vom Steckenpferd",44.893,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/29.mp3",https://www.youtube.com/watch?v=lm2dMUJ7R0Y,44.0,193
Sviatoslav Richter,0.0,"Piano Sonata No. 10 in G Major, Op. 14 No. 2: II. Andante (Recorded 1947)",256.066,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/II._Andante/0.mp3",https://www.youtube.com/watch?v=ku6xh7bSEnA,256.0,1226
András Schiff,4.0,"Invention No. 15 in B minor, BWV 786",70.64,Johann Sebastian Bach,"Johann_Sebastian_Bach/Invention_No.15_in_B_minor,_BWV_786/2.mp3",https://www.youtube.com/watch?v=6NG2gDnnf8A,70.0,1538
Sviatoslav Richter,0.0,"Fantasiestücke, Op. 12 (Excerpts): No. 8, Ende vom Lied [Live]",290.16,Robert Schumann,"Robert_Schumann/8_Fantasiestücke,_Op._12/8._Ende_vom_Lied/0.mp3",https://www.youtube.com/watch?v=mBrPwubQlrs,291.0,301
Vladimir Ashkenazy,6.0,"Piano Sonata No.26 in E flat, Op.81a -""Les adieux"": 2. Abwesendheit (Andante espressivo)",238.733,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No.26_in_E_flat,_Op.81a_-""Les_adieux""/2._Abwesendheit_(Andante_espressivo)/4.mp3",https://www.youtube.com/watch?v=ixr2ATguifw,237.0,1196
Vladimir Ashkenazy,6.0,"Partita No. 3 in A minor, BWV 827: 1. Fantasia",101.013,Johann Sebastian Bach,"Johann_Sebastian_Bach/Partita_No._3_in_A_minor,_BWV_827/1._Fantasia/3.mp3",https://www.youtube.com/watch?v=f_v7rcsO_gU,100.0,381
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: 7. Träumerei",173.8,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/52.mp3",https://www.youtube.com/watch?v=j1n7X4FAf0M,174.0,202
Sviatoslav Richter,0.0,"Keyboard Sonata in D Minor, BWV 964: IV. Allegro (Live)",288.466,Johann Sebastian Bach,"Johann_Sebastian_Bach/Keyboard_Sonata_in_D_Minor,_BWV_964/IV._Allegro/1.mp3",https://www.youtube.com/watch?v=q2Tm7jadsUg,289.0,510
Alicia de Larrocha,18.0,"Piano Sonata No. 13 in A Major, D. 664: 2. Andante",252.026,Franz Schubert,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/7.mp3",https://www.youtube.com/watch?v=NxvOOEQK2ZY,253.0,872
Sviatoslav Richter,0.0,"Waltz No. 13 in D-Flat Major, Op. 70, No. 3",171.773,Frédéric Chopin,"Frederic_Chopin/Waltz_No._13_in_D-Flat_Major,_Op._70,_No._3/0.mp3",https://www.youtube.com/watch?v=TN4My_3TrYs,171.0,1664
Sviatoslav Richter,0.0,"Waldszenen, Op. 82: VII. Vogel als Prophet",162.0,Robert Schumann,"Robert_Schumann/Waldszenen,_Op._82/7._Vogel_als_Prophet/3.mp3",https://www.youtube.com/watch?v=s1VsrLsiYQ4,162.0,277
Sviatoslav Richter,0.0,"Visions fugitives, Op. 22: No. 3, Allegretto (Live)",71.68,Sergei Prokofiev,"Sergei_Prokofiev/Visions_Fugitives,_Op._22/No._3,_Allegretto/1.mp3",https://www.youtube.com/watch?v=YkPnSR_MElE,72.0,1032
Claudio Arrau,11.0,"Kinderszenen, Op.15: 4. Bittendes Kind",53.066,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/29.mp3",https://www.youtube.com/watch?v=hd1Wl2tgN4E,53.0,194
Walter Gieseking,8.0,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",290.08,Wolfgang Amadeus Mozart,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.12_in_F,_K.332/2._Adagio/4.mp3",https://www.youtube.com/watch?v=eQuqtbNqINY,291.0,1117
Vladimir Ashkenazy,6.0,"Preludes and Fugues for Piano, Op.87: Prelude & Fugue No.16 in B flat minor: Prelude",152.813,Dmitri Shostakovich,"Dmitri_Shostakovich/Preludes_and_Fugues_for_Piano,_Op.87/Prelude_&_Fugue_No.16_in_B_flat_minor:_Prelude/0.mp3",https://www.youtube.com/watch?v=AnncqN2nCXw,152.0,784
Vladimir Ashkenazy,6.0,"24 Préludes, Op. 28: No. 8 in F-Sharp Minor: Molto agitato",127.333,Frédéric Chopin,"Frederic_Chopin/24_Préludes,_Op._28/No._8_in_F-Sharp_Minor:_Molto_agitato/2.mp3",https://www.youtube.com/watch?v=LOkYe_2n0zM,127.0,1468
Wilhelm Kempff,28.0,"Kinderszenen, Op. 15: No. 3 Hasche-Mann",35.84,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/34.mp3",https://www.youtube.com/watch?v=XVQF5cfACLU,35.0,195
András Schiff,4.0,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Prelude in G sharp minor BWV 887",244.4,Johann Sebastian Bach,"Johann_Sebastian_Bach/Das_Wohltemperierte_Klavier_Book2/Book_2,_BWV_870-893:_Prelude_in_G_Sharp_Minor,_BWV_887/0.mp3",https://www.youtube.com/watch?v=aXHVI-uakpI,245.0,610
Samson François,48.0,"Chopin: 12 Études, Op. 10: No. 8 in F Major",146.28,Frédéric Chopin,"Frederic_Chopin/12_Études,_Op._10/No._8_in_F_Major/50.mp3",https://www.youtube.com/watch?v=QQoNs_xz3SA,146.0,1414
Martha Argerich,7.0,"24 Préludes, Op. 28: No. 14 in E-Flat Minor",28.506,Frédéric Chopin,"Frederic_Chopin/24_Préludes,_Op._28/No._14_in_E-Flat_Minor:_Allegro/11.mp3",https://www.youtube.com/watch?v=-e1PnbbH1NI,28.0,1464
Daniel Barenboim,9.0,"Chopin: 24 Preludes, Op. 28: No. 20 in C Minor",96.64,Frédéric Chopin,"Frederic_Chopin/24_Préludes,_Op._28/No._20_in_C_Minor:_Largo/29.mp3",https://www.youtube.com/watch?v=VuTUBHnVK6A,96.0,1475
Walter Gieseking,8.0,"Debussy: Suite bergamasque, CD 82, L. 75: I. Prélude",214.466,Claude Debussy,"Claude_Debussy/Suite_bergamasque,_L._75/I._Prélude/2.mp3",https://www.youtube.com/watch?v=LUAO4SjOKpY,214.0,653
Radu Lupu,25.0,"Piano Sonata No. 5 in A Flat Major, D557: 2. Andante",206.853,Franz Schubert,"Franz_Schubert/Piano_Sonata_No.5_in_A_flat,_D557/2._Andante/1.mp3",https://www.youtube.com/watch?v=Dr0-bVi3eR0,207.0,923
Wilhelm Kempff,28.0,"Piano Sonata No. 16 in G Major, Op. 31 No. 1: I. Allegro vivace",293.0,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No.16_in_G,_Op.31_No.1/1._Allegro_vivace/33.mp3",https://www.youtube.com/watch?v=LiBDD5zdIGQ,292.0,1315
Glenn Gould,15.0,"French Suite No. 6 in E Major, BWV 817: VIII. Gigue",124.72,Johann Sebastian Bach,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/8._Gigue/5.mp3",https://www.youtube.com/watch?v=ueul3nASK64,125.0,579
Lazar Berman,47.0,"12 Etudes, Op. 8: No. 11 in B-Flat Minor (1894)",286.4,Alexander Scriabin,"Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/6.mp3",https://www.youtube.com/watch?v=17O007OeejY,286.0,127
Wilhelm Kempff,28.0,"Piano Sonata No. 9 in E Major, Op. 14, No. 1: 2. Allegretto",213.533,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._9_in_E_Major,_Op._14,_No._1/II._Allegretto/40.mp3",https://www.youtube.com/watch?v=ns-2487GE2E,214.0,1185
Glenn Gould,15.0,"The Well-Tempered Clavier, Book 1: Fugue No. 19 in A Major, BWV 864",144.586,Johann Sebastian Bach,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._19_in_A_Major,_BWV_864:_Fugue/2.mp3",https://www.youtube.com/watch?v=-OPcI776eIo,143.0,555
Glenn Gould,15.0,"Partita No. 3 in A Minor, BWV 827: VI. Scherzo",54.24,Johann Sebastian Bach,"Johann_Sebastian_Bach/Partita_No._3_in_A_minor,_BWV_827/6._Scherzo/7.mp3",https://www.youtube.com/watch?v=_xJuuUafHYI,55.0,379
Sviatoslav Richter,0.0,"Piano Sonata No. 2 in F-Sharp Minor, Op. 2: III. Scherzo. Allegro",231.613,Johannes Brahms,"Johannes_Brahms/Piano_Sonata_No._2_in_F-Sharp_Minor,_Op._2/III._Scherzo._Allegro/0.mp3",https://www.youtube.com/watch?v=IxPSlkEtYD8,231.0,1101
Sviatoslav Richter,0.0,"Piano Sonata No. 9 in E Major, Op. 14 No. 1: III. Rondo (Allegro comodo) [Live]",161.186,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._9_in_E_Major,_Op._14,_No._1/III._Rondo._Allegro_comodo/2.mp3",https://www.youtube.com/watch?v=q5e4W6H4iVc,161.0,1187
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: VI. Capriccio",182.973,Johann Sebastian Bach,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/6._Capriccio/3.mp3",https://www.youtube.com/watch?v=1cFetvQuZTQ,183.0,347
Pierre-Laurent Aimard,16.0,"Préludes - Book 2, L.123: 4. ""Les fées sont d'exquises danseuses""",200.36,Claude Debussy,"Claude_Debussy/Préludes,_Book_2,_L._123/No._4,_Les_fées_sont_d'exquises_danseuses/12.mp3",https://www.youtube.com/watch?v=dfGwKllRTkI,201.0,670
Nikolai Lugansky,41.0,"Piano Sonata No. 28 in A Major, Op. 101: I. Etwas lebhaft und mit der innigsten Empfindung. Allegretto ma non troppo",246.426,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._28_in_A_Major,_Op._101/I._Etwas_lebhaft_und_mit_der_innigsten_Empfindung/55.mp3",https://www.youtube.com/watch?v=KqLvhsonprQ,247.0,1240
Vladimir Ashkenazy,6.0,"Piano Sonata No.28 in A, Op.101: 1. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo)",274.4,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._28_in_A_Major,_Op._101/I._Etwas_lebhaft_und_mit_der_innigsten_Empfindung/15.mp3",https://www.youtube.com/watch?v=rIckHX4ahJw,274.0,1240
Krystian Zimerman,27.0,"Piano Sonata No. 21 In B Flat Major, D.960: III. Scherzo (Allegro vivace con delicatezza)",249.52,Franz Schubert,"Franz_Schubert/Piano_Sonata_No.21_in_B_flat,_D.960/3._Scherzo_(Allegro_vivace_con_delicatezza)/13.mp3",https://www.youtube.com/watch?v=8QOtvpiWnc8,250.0,842
Vladimir Ashkenazy,6.0,"Six Pieces from ""Cinderella"", Op. 102: 2. Cinderella's Variation",83.666,Sergei Prokofiev,"Sergei_Prokofiev/Six_Pieces_from_""Cinderella"",_Op.102/2._Cinderella's_Variation/0.mp3",https://www.youtube.com/watch?v=Mmm2npXdT6o,83.0,1011
Walter Gieseking,8.0,"Ravel: Sonatine, M. 40: II. Mouvement de menuet",198.922,Maurice Ravel,"Maurice_Ravel/Sonatine,_M._40/II._Mouvement_de_Menuet/8.mp3",https://www.youtube.com/watch?v=6fIwsK84aK0,199.0,719
Glenn Gould,15.0,"Piano Sonata No. 31 in A-Flat Major, Op. 110: III. Adagio ma non troppo - Arioso dolente -",229.786,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._31_in_A-Flat_Major,_Op._110/III._Adagio_ma_non_troppo/11.mp3",https://www.youtube.com/watch?v=fCjHoTy28PM,231.0,1195
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: No. 7, Träumerei",181.28,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/35.mp3",https://www.youtube.com/watch?v=aQzaid43BEI,182.0,202
Wilhelm Kempff,28.0,"Piano Sonata No. 18 in D Major, K. 576: III. Allegretto",230.0,Wolfgang Amadeus Mozart,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.18_in_D,_K.576/3._Allegretto/42.mp3",https://www.youtube.com/watch?v=4wU490NTRO0,230.0,1113
Sviatoslav Richter,0.0,"Seven Preludes and Fugues Suite of Sviatoslav Richter: Fugue in E Minor, Op. 87/4",263.666,Dmitri Shostakovich,"Dmitri_Shostakovich/Preludes_and_Fugues_for_Piano,_Op.87/Prelude_&_Fugue_No.4_in_E_minor:_Fugue/1.mp3",https://www.youtube.com/watch?v=oGF_zauW13U,264.0,826
Vladimir Ashkenazy,6.0,"12 Etudes, Op. 10: No. 2 in A Minor ""Chromatique""",81.0,Frédéric Chopin,"Frederic_Chopin/12_Études,_Op._10/No._2_in_A_Minor_""Chromatique""/7.mp3",https://www.youtube.com/watch?v=XyDYsHMYSEs,81.0,1413
Walter Gieseking,8.0,"Waldszenen, Op. 82: No. 9. Abschied (Farewell to the Forest)",241.533,Robert Schumann,"Robert_Schumann/Waldszenen,_Op._82/9._Abschied/9.mp3",https://www.youtube.com/watch?v=T44tDp--zyk,241.0,279
Glenn Gould,15.0,"Piano Sonata No. 24 in F-Sharp Major, Op. 78 ""À Thérèse"": II. Allegro vivace",150.306,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._24_in_F-Sharp_Major,_Op._78_""For_Therese""/2._Allegro_vivace/12.mp3",https://www.youtube.com/watch?v=HeZ8mvYF_Sg,151.0,1264
